id,input,label,num_variables,template,expected_answer
1afa02df02c908a558b4036e80242fac,"Premise: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Hypothesis: ",True,2,unknown,None
a7ab086045575bb497933726e4e6ad28,"Premise: What do people aim to do at work?
Hypothesis: ",True,2,unknown,None
b8c0a4703079cf661d7261a60a1bcbff,"Premise: Where would you find magazines along side many other printed works?
Hypothesis: ",True,2,unknown,None
e68fb2448fd74e402aae9982aa76e527,"Premise: Where are  you likely to find a hamburger?
Hypothesis: ",True,2,unknown,None
2435de612dd69f2012b9e40d6af4ce38,"Premise: James was looking for a good place to buy farmland.  Where might he look?
Hypothesis: Where might he look?",True,2,unknown,None
a4892551cb4beb279653ae52d0de4c89,"Premise: What island country is ferret popular?
Hypothesis: ",True,2,unknown,None
118a9093a30695622363455e4d911866,"Premise: In what Spanish speaking North American country can you get a great cup of coffee?
Hypothesis: ",True,2,unknown,None
05ea49b82e8ec519e82d6633936ab8bf,"Premise: What do animals do when an enemy is approaching?
Hypothesis: ",True,2,unknown,None
c0c07ce781653b2a2c01871ba2bcba93,"Premise: Reading newspaper one of many ways to practice your what?
Hypothesis: ",True,2,unknown,None
1d24f406b6828492040b405d3f35119c,"Premise: What do people typically do while playing guitar?
Hypothesis: ",False,2,unknown,None
57f92025d860e32c4e780c0d51c1c20c,"Premise: What would vinyl be an odd thing to replace?
Hypothesis: ",False,2,unknown,None
81eb4b2ee66edd8bc91ee944697c4e9f,"Premise: If you want harmony, what is something you should try to do with the world?
Hypothesis: ",True,2,unknown,None
d807e7ae60976324920c8d29eb42dad6,"Premise: Where does a heifer's master live?
Hypothesis: ",True,2,unknown,None
7ea9f721ffc662918bb0c0937a487f04,"Premise: Aside from water and nourishment what does your dog need?
Hypothesis: ",False,2,unknown,None
fc1d33a2301a30214523c12573f81aba,"Premise: Janet was watching the film because she liked what?
Hypothesis: ",True,2,unknown,None
3b8e1d236f5169b6c833a994d6d9c39a,"Premise: What are you waiting alongside with when you're in a reception area?
Hypothesis: ",True,2,unknown,None
c5c4166f2ed3c2b3517b79e6848e9ae2,"Premise: When drinking booze what can you do to stay busy?
Hypothesis: ",True,2,unknown,None
6dc5b2884737e66543ce65f8dc40c992,"Premise: A fencing thrust with a sharp sword towards a person would result in what?
Hypothesis: ",True,2,unknown,None
8af63d58cc35061dec38e5448c325988,"Premise: Unlike a spider and his many sight seers, people only have what?
Hypothesis: ",True,2,unknown,None
768fb09deab56046e1565b6a2556ad5c,"Premise: Where do adults use glue sticks?
Hypothesis: ",True,2,unknown,None
cd639cf3ff82f825ace7dd2b087562bd,"Premise: What could go on top of wood?
Hypothesis: ",True,2,unknown,None
8d79cc5e4eea11f50fab18fdea20fd4f,"Premise: The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?
Hypothesis: ",True,2,unknown,None
e5ad2184e37ae88b2bf46bf6bc0ed2f4,"Premise: Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?
Hypothesis: ",True,2,unknown,None
b8b287b6277fccd4b7c9c72577177328,"Premise: Where could you find a toilet that only friends can use?
Hypothesis: ",True,2,unknown,None
f646f3e064f06423fc25b98500796cf0,"Premise: What is someone who isn't clever, bright, or competent called?
Hypothesis: ",True,2,unknown,None
b0f7d7978ac41c465108a92660d70e84,"Premise: When wildlife reproduce we often refer to what comes out as what?
Hypothesis: ",True,2,unknown,None
